Rank,TokenID,RarityScore
1.0,2390,0.02664258303459322
2.0,3183,0.02658325123253414
3.0,3957,0.026458970501789643
4.0,1723,0.026291476709867326
5.0,2333,0.026269298987415465
6.0,2627,0.026248342877115145
7.0,2881,0.02618898699746483
8.0,3112,0.02614131912263802
9.0,3581,0.026139441723009825
10.0,1070,0.026123768312030636
11.0,4267,0.026094393602782012
12.0,1789,0.026065223232009195
13.0,4430,0.026003168690713452
14.0,453,0.025951750804854727
15.0,4114,0.025896785878104782
16.0,2958,0.025885293569326007
17.0,3370,0.025822890155535384
18.0,3094,0.025815910744603446
19.0,3381,0.025808528539620977
20.0,3914,0.025788082124770517
21.0,2365,0.025768529895600724
22.0,2243,0.025765635333407033
23.0,1516,0.025734172718386406
24.0,482,0.025716857522433245
25.0,4664,0.025697689758011143
26.0,929,0.025695889808869575
27.0,230,0.025672308763156352
28.0,2877,0.025614029218244676
29.0,4365,0.025577969424444617
30.0,1139,0.025570109569084426
31.0,624,0.025562948810043964
32.0,1966,0.025514847785200218
33.0,3037,0.02551432562536942
34.0,364,0.02551235281065775
35.0,4660,0.025510754879929973
36.0,3224,0.02546954511572789
37.0,1084,0.025468000224508933
38.0,2248,0.025452461526791623
39.0,523,0.025449283013001568
40.0,4489,0.02543608622916628
41.0,655,0.025430963086628698
42.0,490,0.02542533561425382
43.0,172,0.025422721919238195
44.0,3548,0.02539728156184907
45.0,3551,0.025374407188618022
46.0,2431,0.025364427374611958
47.0,4383,0.02536217334668655
48.0,491,0.02535726468157195
49.0,3416,0.025352046970115966
50.0,1467,0.025341144211010067
51.0,4529,0.025331524173073227
52.0,817,0.025324881316839576
53.0,1292,0.025315849028511875
54.0,4148,0.025309914135330354
55.0,4153,0.025290850532863663
56.0,2591,0.02528349418819041
57.0,2305,0.025280931129783232
58.0,1121,0.025265438170678896
59.0,2714,0.025260326312891927
60.0,1680,0.02525297277576742
61.0,458,0.025241727453211092
62.0,2244,0.02523966486505075
63.0,3753,0.025234990036019953
64.0,894,0.02523445711051823
65.0,2975,0.025233802879872987
66.0,312,0.025231270428533806
67.0,336,0.02522454372810596
68.0,3938,0.025223273511887398
69.0,1533,0.025221021848905775
70.0,1577,0.0251879391377308
71.0,848,0.025178385169617352
72.0,2760,0.025166212651898022
73.0,158,0.025153033868986104
74.0,1231,0.025120643462586176
75.0,252,0.025103637075180058
76.0,4719,0.025075343150395196
77.0,1678,0.025071466553309413
78.0,3566,0.025071014892075798
79.0,4821,0.0250638789026794
80.0,682,0.025054718112359653
81.0,2708,0.02504654493376298
82.0,3940,0.025041392187894473
83.0,4614,0.025031916945764912
84.0,1257,0.025030884944534433
85.0,4658,0.025008100984726833
86.0,4210,0.02498015803628673
87.0,2630,0.024968841407580565
88.0,2679,0.02494629430719656
89.0,2638,0.024941600794884805
90.0,942,0.024927184378677004
91.0,1348,0.024924946650531923
92.0,1676,0.02492268730976953
93.0,3119,0.024917358444927457
94.0,2765,0.024891408545204045
95.0,866,0.024887318499432418
96.0,102,0.02487107983941029
97.0,4444,0.02484691442635874
98.0,1033,0.02484082683637983
99.0,399,0.024835120375533204
100.0,3572,0.024833514397072064
101.0,1622,0.024829807861822206
102.0,2435,0.02482017961215173
103.0,3459,0.024817183772999123
104.0,4688,0.024815517604891417
105.0,1537,0.024811483375857358
106.0,1867,0.024805208383599543
107.0,3866,0.024802755696458095
108.0,499,0.02479437053439879
109.0,3345,0.024783855106391424
110.0,1963,0.024779695709381298
111.0,3377,0.024775858681157406
112.0,2238,0.02476842712148012
113.0,540,0.0247683331416489
114.0,1869,0.024759128510892334
115.0,3514,0.024756603431943136
