Rank	TokenID	Rarity Score
--------------------------------------------------
1	3957	3.8308070214441603
2	4267	3.7236395721715994
3	1723	3.712763656849062
4	2333	3.692209324489557
5	1789	3.67135387718317
6	1966	3.597028040942786
7	230	3.5617273638959466
8	655	3.5117517450408675
9	3112	3.5051374945869593
10	2627	3.483826003680995
11	4114	3.4796455855354176
12	2238	3.419090705846878
13	2958	3.418423213796879
14	1533	3.405922810517076
15	2881	3.391755702975937
16	4210	3.3736683067061777
17	3183	3.372364809388885
18	3094	3.3608918983446525
19	3581	3.3492580316473877
20	453	3.342441304556213
21	2390	3.334041262135923
22	3548	3.3191660047835945
23	3037	3.306932992728081
24	3944	3.290088514273408
25	3381	3.289821619385587
26	3370	3.2845044733574165
27	3085	3.262815264315553
28	1070	3.2600628127780173
29	523	3.2372767600725507
30	2760	3.2283686663524427
31	2506	3.226542818656837
32	158	3.2249007361637667
33	2431	3.2144790364100686
34	490	3.2142323168256546
35	4383	3.21340244374186
36	2243	3.2107874153518887
37	3914	3.207685138396172
38	4148	3.206352919976779
39	3416	3.2039559576468326
40	4489	3.19811645820493
41	1084	3.194003703507458
42	929	3.1861131182961335
43	817	3.1710960396376002
44	4555	3.170912770059305
45	2882	3.1693441018840485
46	364	3.164890217614482
47	2708	3.164104982042159
48	4614	3.161624551951279
49	471	3.161594865335767
50	1467	3.161490149428931
51	2877	3.153730867346939
52	4430	3.1487978703623862
53	336	3.1481658354626743
54	482	3.147984727521045
55	4596	3.1344720585961467
56	234	3.133782846403299
57	4664	3.1307936769692106
58	1231	3.129374305339771
59	3566	3.127777857876656
60	857	3.126872634975249
61	624	3.1255800277147165
62	1508	3.1197108096332884
63	4365	3.1185493472584858
64	1121	3.1125843145101277
65	491	3.1043974757756496
66	312	3.1032380709688425
67	267	3.0976174804758556
68	1678	3.095414344048852
69	172	3.0920592628388173
70	1577	3.089771969460169
71	2591	3.0713132200389883
72	1139	3.0702976598775846
73	2365	3.0658704465456714
74	3459	3.0635435689504344
75	922	3.062959576117203
76	3853	3.061125561670091
77	631	3.0598018672256315
78	3668	3.05062334986757
79	384	3.048003168403
80	4658	3.0430315491348106
81	3204	3.039016522095517
82	2521	3.0374349129828926
83	1516	3.0349020581967263
84	4153	3.032553518858512
85	3560	3.0298420152362735
86	863	3.0286968768740343
87	2539	3.0283082893502087
88	3224	3.027013538469541
89	314	3.023570652236669
90	2765	3.0206659347191467
91	3397	3.0180993215548217
92	3940	3.017551120240201
93	1232	3.0164614520514177
94	1537	3.014979281516147
95	2679	3.013872656267984
96	4479	3.0094037421674087
97	648	3.000377722167951
98	628	2.9955021310786387
99	4529	2.9926389831600786
100	3551	2.9902505010449145
101	2638	2.989062902062029
102	3659	2.989020308256426
103	1892	2.98561412442548
104	1073	2.9856059901828007
105	2805	2.984803567723888
106	2244	2.982060366426558
107	4821	2.977590970419368
108	1177	2.9775026908049993
109	4416	2.977321655991357
110	866	2.977139228067276
111	4719	2.9755946729624236
112	3119	2.9736162293782495
113	4506	2.971876844982893
114	4619	2.965233942614675
115	2123	2.964691466923371
116	2975	2.964429481937377
117	590	2.9566405462579604
118	4013	2.950731204726465
119	919	2.9477191266772578
120	1292	2.947316799114122
121	3727	2.946022049508431
122	3712	2.9440917695220397
123	3938	2.943535715404121
124	2248	2.9378535045116956
125	4063	2.9356903028651513
126	4660	2.93440541528686
127	1277	2.933338462011696
128	4595	2.9317080736735783
129	2435	2.9311414640377547
130	1257	2.929976124093974
131	682	2.9299761240939737
132	2486	2.925940891298201
133	1563	2.9212445878701887
134	2853	2.9198003022389436
135	1305	2.919766617717387
136	920	2.9186052158012776
137	3261	2.9168966667852647
138	894	2.9162257899006065
139	1680	2.9152082316652117
140	2164	2.913125585971199
141	3228	2.9126960082244
142	1150	2.9124882909740655
143	607	2.91104688427089
144	2190	2.9099469540203864
145	1676	2.9097702998103676
146	3131	2.9096020874526736
147	3753	2.9038423896022554
148	3952	2.90382724228472
149	1541	2.9017464639559174
150	2746	2.9006750754088353
151	2213	2.898676249146015
152	913	2.8966179891927752
153	679	2.8946980709839303
154	4731	2.8943454568636886
155	1765	2.894119445154426
156	3299	2.89317182213247
157	1328	2.89008734670414
158	3592	2.8898811569850436
159	3520	2.889547362672572
160	2740	2.8883553909589033
161	3885	2.8851912682332506
162	252	2.8819847724284116
163	942	2.8816668129433696
164	1689	2.880643194055666
165	3024	2.8793222073493143
166	513	2.877709601445433
167	388	2.877224345339455
168	2630	2.876239766041054
169	897	2.8754551473090424
170	1371	2.874032399240059
171	2305	2.8725319250444397
172	4727	2.8720798809315813
173	1847	2.8718170141504253
174	2454	2.8700705682232757
175	133	2.8684526549492184
176	330	2.8675153927663892
177	545	2.8671501455398207
178	1709	2.863840113046701
179	3854	2.863208244124813
180	4839	2.8624155735274517
181	3515	2.8619634157249143
182	2704	2.8604103002276924
183	3556	2.8601156748865955
184	540	2.8592918818903708
185	2376	2.8579012741025944
186	1999	2.8574403966192685
187	1348	2.857002131648703
188	395	2.855158813414853
189	551	2.854794015310421
190	3222	2.8542847852066653
191	1624	2.851015386873765
192	1672	2.8493725399693535
193	1963	2.8451931521644456
194	1260	2.8442385262860563
195	1776	2.844044689106348
196	1867	2.8430070340020746
197	2674	2.8403812030814524
198	4688	2.8396361219334527
199	3032	2.8382926145438145
200	4125	2.834978857614474
201	3390	2.833418967356999
202	4420	2.831031634162033
203	55	2.830693815441994
204	3787	2.828419466875885
205	4697	2.827964094688998
206	615	2.8269942920474627
207	3223	2.826687730806894
208	1870	2.824779092145676
209	88	2.8245899632802938
210	4444	2.823341479023921
211	3693	2.8216581066770674
212	1524	2.820057916258609
213	3296	2.8199727556952565
214	3915	2.8196207676352176
215	3998	2.814889382017439
216	2416	2.814145845155341
217	1097	2.8082345312915002
218	1734	2.8068169469748465
219	2445	2.806496671624073
220	4324	2.804179105967223
221	3507	2.801647957349724
222	959	2.8008444404196813
223	2372	2.8006981561575137
224	413	2.799220474854792
225	297	2.799094165087977
226	399	2.796955371916862
227	3338	2.7967228432011666
228	102	2.793758851491814
229	3466	2.7926145435053855
230	529	2.7923549243518253
231	180	2.792335937562842
232	3462	2.791341161593432
233	3866	2.790400165341012
234	521	2.789387190836683
235	2546	2.7860043867037882
236	1692	2.7859813315785673
237	1702	2.784194074672448
238	2385	2.781797436043062
239	3931	2.781315449491825
240	2440	2.7810382469770434
241	4732	2.780829037853533
242	4524	2.7805387099027308
243	2425	2.7804931764550034
244	4559	2.779401416316683
245	1572	2.7782462650579656
246	3442	2.7750502410155677
247	4705	2.774957144776115
248	3785	2.774650993281767
249	4205	2.7745099881813218
250	1306	2.7743193526180274
251	2271	2.772842334707855
252	1032	2.7728359960154845
253	1748	2.7724782797325864
254	2714	2.7724661781643034
255	3926	2.7724517766258407
256	630	2.772356017480602
257	848	2.7723306118752133
258	3744	2.7702535415394505
259	499	2.769947596712333
260	3417	2.768981625742043
261	4693	2.7677477416151453
262	588	2.7665955549141743
263	3371	2.765993778794331
264	1745	2.7659659220144217
265	3050	2.763405690025879
266	2528	2.762803953651824
267	951	2.761351389785607
268	3625	2.760803684482007
269	271	2.7606720331280488
270	2136	2.759207351639923
271	4173	2.758927913687439
272	366	2.758690067618199
273	3038	2.758463915981844
274	1899	2.75803150182595
275	3345	2.757630648042662
276	2846	2.757613662621264
277	2036	2.756278256489244
278	4797	2.755538160078281
279	2469	2.7554951182575764
280	3572	2.754712884930415
281	657	2.7540609759060684
282	3329	2.753159674793965
283	1213	2.7525550371172476
284	647	2.7507918963722755
285	4159	2.7497295562847217
286	458	2.7476176972495483
287	1664	2.746644358982638
288	1511	2.7453451316311193
289	729	2.7445125576152494
290	2017	2.7444627904748606
291	428	2.742385331990101
292	3042	2.7423749097944548
293	3363	2.7414050932157763
294	2449	2.740536135735667
295	4052	2.7393974518379913
296	3873	2.7391485863711686
297	941	2.739116180602983
298	3246	2.737916049798493
299	1470	2.7376574557187867
300	1869	2.737315732644132
301	385	2.7366044148499022
302	4008	2.736438704508909
303	2199	2.736057684896109
304	2954	2.735591536711217
305	591	2.73503261948966
306	2010	2.7319212813939346
307	964	2.7306868176633534
308	4752	2.7300213276998138
309	2424	2.729597607747637
310	1220	2.7291971973607003
311	1570	2.728191204668914
312	4371	2.7279680996398294
313	4238	2.7274974890187464
314	2451	2.726017650922179
315	1575	2.7253911723157707
316	2380	2.724523877058217
317	3468	2.7227553981111683
318	3791	2.721999174241438
319	1124	2.72198678942195
320	2683	2.7219779862719817
321	3965	2.7219499602961807
322	2369	2.7213927045670543
323	3662	2.7198438859495675
324	1174	2.7198107124728708
325	3102	2.719312478460943
326	2754	2.7187554810844468
327	2938	2.7182146700680145
328	4002	2.7177323130986095
329	3648	2.716341705046523
330	4015	2.7157539357933667
331	4539	2.715296976747191
332	4818	2.715268039815591
333	3678	2.7148107315141483
334	497	2.714382777965881
335	2406	2.7140166768669056
336	3658	2.713958897410972
337	4215	2.7133588139746943
338	3301	2.713132794881795
339	456	2.7131247368544016
340	4380	2.71233659109887
341	2277	2.71149189198907
342	2223	2.7110871070192193
343	1997	2.7105411039767215
344	4447	2.7091948127373815
345	3297	2.7075050613864033
346	571	2.707496289445381
347	4521	2.7068841448788676
348	65	2.7066735581524393
349	4586	2.7058415685202557
350	700	2.7030722384061345
351	842	2.7026731778587045
352	3377	2.702524381815389
353	1081	2.702462487911811
354	3435	2.7023175220584066
355	3534	2.7022325515300194
356	4385	2.702124526962267
357	2079	2.7014539239557966
358	1911	2.701049798955622
359	1335	2.7006025117876793
360	4483	2.700399353602043
361	4386	2.7002515017117847
362	2972	2.6993619559450064
363	3144	2.6991768795908597
364	3281	2.6990779781116707
365	2209	2.6989696031677597
366	4679	2.6984426965874593
367	3180	2.6982556877749184
368	4786	2.697830480130526
369	4725	2.69746664828351
370	4689	2.6969326773802096
371	4014	2.6947952460520743
372	1515	2.694778975874498
373	2117	2.6941325739101
374	925	2.6920090578040385
375	4844	2.6916002716265073
376	2336	2.6898462191163937
377	3761	2.688966567190897
378	1095	2.6881249607895694
379	113	2.6874772917825633
380	1336	2.687417280136472
381	2764	2.6855492583487335
382	375	2.6854545772035148
383	583	2.685275332520043
384	852	2.684884481384783
385	732	2.684393945332832
386	1253	2.6836402681554747
387	195	2.683389673563372
388	1098	2.6814411142669248
389	3904	2.6805955306133393
390	1418	2.679908230342542
391	4519	2.6788267113509603
392	2126	2.677784156081605
393	1294	2.6775368235458585
394	3746	2.677523074410851
395	2615	2.6761852148514893
396	342	2.675904290307939
397	4462	2.6753065098238724
398	61	2.6749430581575973
399	4068	2.674677913369497
400	3127	2.6742374603149632
401	4134	2.673785281005868
402	2494	2.6733212984453583
403	1838	2.673036761657547
404	2647	2.6730367616575466
405	3504	2.6730367616575466
406	2610	2.6729907619923345
407	997	2.6728214512638044
408	4842	2.671195967808748
409	1033	2.6707251207137936
410	434	2.6705255512106607
411	2523	2.6703520150071665
412	3796	2.6701859699169836
413	3278	2.6694918863111083
414	4414	2.669418054925239
415	3826	2.6692954311341235
416	2879	2.668899607986033
417	4097	2.668643674210988
418	4442	2.667659025960012
419	2496	2.66502904987067
420	4456	2.664637528070191
421	1756	2.6643050466355764
422	1464	2.661620103704871
423	673	2.6607128203678343
424	3834	2.660702185563328
425	3284	2.6602804413189047
426	2782	2.6597259514371276
427	627	2.6592529922925845
428	786	2.6585127186173105
429	2579	2.65825761654906
430	3748	2.658196028852903
431	2557	2.6547686532776114
432	1732	2.6534069232375304
433	3843	2.6525345001639264
434	285	2.6513647188985905
435	4117	2.6507614553104
436	2651	2.6505487132616543
437	2980	2.649971241971948
438	1660	2.6498193574953413
439	2669	2.6485194472491793
440	3022	2.647707788295359
441	4345	2.647075314217585
442	1677	2.646845785229635
443	2363	2.6468290177939657
444	4837	2.646491342960438
445	2901	2.644780340269772
446	1240	2.6439911822613174
447	2301	2.643411354226156
448	3953	2.6428941611726664
449	3406	2.6423103915630057
450	1673	2.6420787491810156
451	370	2.641789635022577
452	2554	2.6417638140912896
453	4423	2.641260465475549
454	2519	2.6409053247591547
455	2463	2.64019760733499
456	707	2.6384094158976477
457	3481	2.638293523498101
458	2485	2.638231348942012
459	104	2.638084764631328
460	645	2.637591272474124
461	3818	2.6369938715202363
462	2132	2.636877334555134
463	3878	2.6356215580111444
464	1860	2.635475425960584
465	1836	2.6339555739045255
466	1592	2.6332685123900688
467	3200	2.632984520594118
468	1357	2.632916711954797
469	148	2.631223548022225
470	4090	2.631070996798759
471	387	2.6309057555910282
472	2827	2.630877559649053
473	3750	2.6305624933082115
474	553	2.6292164868762753
475	1117	2.628048212717859
476	3946	2.6273706849697644
477	2185	2.6264700490995043
478	1887	2.6256929462796
479	1178	2.6253180569981303
480	3872	2.623810079432417
481	1380	2.623669066646458
482	3141	2.621909968079681
483	3706	2.6216962225866194
484	2570	2.6194825269053026
485	1604	2.619439385302187
486	4276	2.619310835717429
487	1490	2.6181094792271487
488	2437	2.6172607772680996
489	1930	2.615316561017072
490	54	2.614064182232453
491	2723	2.613942092981271
492	1351	2.613825854730479
493	4463	2.6129614698951085
494	3428	2.6129507596686072
495	1099	2.612720155043041
496	163	2.612412257893554
497	4167	2.612018069376341
498	4290	2.6118672361918374
499	802	2.6102689469398577
500	2221	2.6097379629654465
501	1964	2.608531554473852
502	1473	2.6076000072597303
503	4687	2.6061802083919856
504	943	2.6060600885688907
505	2899	2.6056689779300024
506	299	2.6050007501483434
507	1435	2.604806130378971
508	147	2.6042353172718746
509	2350	2.6037763341864024
510	1078	2.603649627620687
511	1643	2.6026578947368417
512	2171	2.6021440720904288
513	3157	2.602104779934064
514	1223	2.601778810830492
515	1525	2.6013112854377094
516	2844	2.601179521764535
517	96	2.5995023208604513
518	290	2.5994824712752735
519	2497	2.598122366169099
520	59	2.595643552722498
521	3526	2.5950960312009412
522	56	2.5944476672703276
523	755	2.593949412390603
