TokenID	Rarity Score
------------------------------
588	5.5829130046358895
314	5.443365644366756
2017	5.245117923873189
230	5.2163161682915655
2539	5.195939933259176
857	4.873766048117382
1789	4.871331269349845
2123	4.592188567162758
2372	4.52232441471572
2578	4.519363753881815
645	4.505449576679884
2238	4.426700498937268
482	4.416609100030874
1963	4.416467065868265
1277	4.387273974348859
1723	4.368123184644983
919	4.35212981744422
1177	4.345206319434427
863	4.339278198704914
1073	4.314183960481943
2223	4.2959844447901
2171	4.289952013959576
453	4.278091784890856
2036	4.270931253905797
330	4.269404574244827
2435	4.267630312423526
1675	4.257491923449056
180	4.249743649035153
2431	4.232683899377611
1508	4.228784964319232
1533	4.228784964319232
366	4.218143411486144
2454	4.211088573360379
922	4.202852898887808
2243	4.191689192158931
120	4.176869077480491
2271	4.175275270985871
1008	4.172372652102899
1745	4.168537690973194
2496	4.153690003798579
894	4.151162161629101
962	4.15092579128496
2385	4.148693549540154
591	4.14429070528252
2363	4.13965772853517
2265	4.13835923887899
2170	4.129940119760479
2489	4.121472500597493
428	4.112942480877827
852	4.112781492237155
866	4.101279162617377
473	4.099365646559018
85	4.095421909495102
1930	4.091142835693908
2248	4.083098995695838
2598	4.081399910560193
1470	4.069443146211906
2235	4.069397721221996
1806	4.065713561474858
1150	4.061410907859079
1260	4.055417764228846
2584	4.055367752787651
2521	4.05241925943452
1022	4.039561546567951
1911	4.036138045668057
1776	4.035346756563442
1692	4.035114998380306
997	4.031767450554032
2615	4.031632322796419
1563	4.024831076445551
2570	4.023036091830967
1867	4.018742540830969
2647	4.018742540830969
1645	4.010797013634679
821	3.9897431200691957
388	3.984417370414938
2136	3.9781415114015575
1966	3.9697351381821666
141	3.968849451928036
2440	3.966449412864725
239	3.9618824733974476
46	3.960360528498759
225	3.958850239126772
1292	3.9514959435219725
2277	3.948928197054313
732	3.947303205111622
842	3.9440924181075014
1103	3.9398117788812623
991	3.9303976527668505
297	3.930376518983356
2209	3.9255968830917403
590	3.92201586408974
2579	3.920531561461794
786	3.9175974984188735
2330	3.9054472825518975
133	3.9048514321424426
2333	3.9047551417701287
888	3.9026071789065915
1467	3.9022176500674193
816	3.896372673679343
2494	3.8963304362150226
1032	3.894214475296039
2164	3.89261051856206
941	3.8923010018490847
1490	3.882102580473288
1748	3.875356058700699
1524	3.870447203135505
571	3.8698575028927387
1098	3.8644473466335163
607	3.8563990409432543
355	3.8529115077877143
2365	3.851018019025659
631	3.8419747240062745
1485	3.8410278592689346
2070	3.8409618461637036
1351	3.8403552300199792
943	3.840205743762204
79	3.838492463809889
1838	3.8322389775219317
1572	3.831857164164264
913	3.8284880584694667
1462	3.824014505455697
1992	3.8231290781611857
1232	3.8219717048841098
2350	3.81996335753065
1605	3.8095199800275377
1371	3.8011595971925543
942	3.793981481481482
1486	3.78874960251703
1664	3.787417151681256
1510	3.7815421979356416
1426	3.779119387453989
2424	3.778028808568665
